,date,courier_id,city_code,excellence_score
0,2024-03-17,157353243,TIS,4.7
1,2024-03-17,159133549,SOU,4.9
2,2024-03-17,166388734,TIS,2.9
3,2024-03-17,150833875,TIS,4.2
4,2024-03-17,150825744,TIS,4.8
5,2024-03-17,162617142,TIS,4.9
6,2024-03-17,166390540,TIS,2.6
7,2024-03-17,166192640,TIS,3.2
8,2024-03-17,165741251,TIS,4.8
9,2024-03-17,147123707,TIS,4.8
10,2024-03-17,166389571,TIS,3.2
11,2024-03-17,166195081,TIS,3.2
12,2024-03-17,166434517,TIS,2.7
13,2024-03-17,166391490,TIS,3.0
14,2024-03-17,148940824,TIS,4.8
15,2024-03-17,150833909,TIS,5.0
16,2024-03-17,144612398,TIS,4.8
17,2024-03-17,122092289,TIS,3.5
18,2024-03-17,166193333,SOU,3.9
19,2024-03-17,133479851,TIS,4.8
20,2024-03-17,150833585,TIS,4.9
21,2024-03-17,166436087,TIS,2.9
22,2024-03-17,164377058,TIS,4.8
23,2024-03-17,137051423,SFX,4.5
24,2024-03-17,149580214,TIS,4.7
25,2024-03-17,145464302,SFX,4.8
26,2024-03-17,166090441,TIS,3.0
27,2024-03-17,102320533,TIS,3.8
28,2024-03-17,163364038,TIS,4.7
29,2024-03-17,141262562,SFX,4.2
30,2024-03-17,166388735,TIS,3.3
31,2024-03-17,151264550,TIS,4.2
32,2024-03-17,151268065,TIS,4.9
33,2024-03-17,166156333,TIS,4.0
34,2024-03-17,150833614,TIS,4.1
35,2024-03-17,150833912,TIS,4.4
36,2024-03-17,159544057,TIS,4.7
37,2024-03-17,164819486,TIS,4.7
38,2024-03-17,149096520,TIS,4.6
39,2024-03-17,163369728,TIS,4.8
40,2024-03-17,154315438,TIS,4.8
41,2024-03-17,149874899,TIS,4.9
42,2024-03-17,160048012,TIS,4.6
43,2024-03-17,161240872,SOU,4.2
44,2024-03-17,166044697,TIS,3.8
45,2024-03-17,142457272,TIS,4.8
46,2024-03-17,150833594,TIS,4.9
47,2024-03-17,151346681,TIS,4.4
48,2024-03-17,166389542,TIS,3.2
49,2024-03-17,163434069,TIS,4.8
50,2024-03-17,165738741,TIS,4.7
51,2024-03-17,158373099,TIS,4.9
52,2024-03-17,166158020,TIS,3.8
53,2024-03-17,166155688,TIS,3.5
54,2024-03-17,166391214,TIS,3.1
55,2024-03-17,166393119,TIS,3.2
56,2024-03-17,145166336,TIS,4.8
57,2024-03-17,151212737,TIS,4.5
58,2024-03-17,164820203,TIS,4.8
59,2024-03-17,150833741,TIS,4.8
60,2024-03-17,145166809,TIS,4.8
61,2024-03-17,163919026,TIS,4.9
62,2024-03-17,162977162,TIS,4.7
63,2024-03-17,151386108,TIS,4.8
64,2024-03-17,163907409,TIS,4.8
65,2024-03-17,166393674,TIS,2.8
66,2024-03-17,158309412,SOU,4.4
67,2024-03-17,164698475,SOU,4.7
68,2024-03-17,150815486,TIS,4.7
69,2024-03-17,165154540,TIS,4.7
70,2024-03-17,154111668,TIS,4.8
71,2024-03-17,164236567,TIS,4.6
72,2024-03-17,163908985,TIS,4.9
73,2024-03-17,151259503,TIS,3.9
74,2024-03-17,166436320,TIS,3.2
75,2024-03-17,166436093,TIS,3.0
76,2024-03-17,150811503,TIS,4.6
77,2024-03-17,151382562,TIS,4.8
78,2024-03-17,166144158,TIS,3.7
79,2024-03-17,150833972,TIS,4.9
80,2024-03-17,162520854,TIS,4.7
81,2024-03-17,166154192,TIS,4.3
82,2024-03-17,126416288,TIS,4.7
83,2024-03-17,161122829,TIS,4.2
84,2024-03-17,163561181,SFX,4.3
85,2024-03-17,164819025,TIS,4.9
86,2024-03-17,140981260,TIS,4.8
87,2024-03-17,142815911,TIS,4.8
88,2024-03-17,166436500,TIS,3.3
89,2024-03-17,150833729,TIS,4.6
90,2024-03-17,166788621,TIS,0.2
91,2024-03-17,125589992,TIS,4.9
92,2024-03-17,161056894,TIS,4.8
93,2024-03-17,122025918,TIS,4.6
94,2024-03-17,151199488,TIS,4.6
95,2024-03-17,162982080,SOU,4.5
96,2024-03-17,166195875,TIS,3.7
97,2024-03-17,165278957,TIS,4.7
98,2024-03-17,124592407,TIS,4.7
99,2024-03-17,150833989,TIS,4.8
100,2024-03-17,157558049,TIS,4.6
101,2024-03-17,162981440,SOU,4.3
102,2024-03-17,134374111,TIS,3.9
103,2024-03-17,166438219,TIS,3.1
104,2024-03-17,151199468,TIS,3.9
105,2024-03-17,164820635,TIS,4.7
106,2024-03-17,165640302,SFX,4.2
107,2024-03-17,140605058,TIS,4.9
108,2024-03-17,166433890,TIS,2.6
109,2024-03-17,157409033,TIS,4.5
110,2024-03-17,166194096,TIS,4.6
111,2024-03-17,137739948,TIS,4.1
112,2024-03-17,145166338,TIS,4.6
113,2024-03-17,148936605,TIS,4.2
114,2024-03-17,166438224,TIS,2.7
115,2024-03-17,156403730,TIS,4.8
116,2024-03-17,164816104,TIS,4.7
117,2024-03-17,154624978,TIS,4.8
118,2024-03-17,160588841,TIS,4.9
119,2024-03-17,159541286,TIS,4.8
120,2024-03-17,166194755,TIS,3.6
121,2024-03-17,166449368,TIS,3.8
122,2024-03-17,166088148,TIS,3.5
123,2024-03-17,145167157,TIS,4.8
124,2024-03-17,161911950,TIS,4.7
125,2024-03-17,149098590,TIS,4.7
126,2024-03-17,150833804,TIS,4.7
127,2024-03-17,163364547,TIS,4.8
