creation_time,start_time,city_code,courier_id,slot_id,kickout_reason,kickout_type,kickout_details
2024-03-10 20:08:20,2024-03-10 21:00:00,TIS,166195753,38170004,2,3,
2024-03-10 20:06:38,2024-03-10 21:00:00,SFX,166355585,38156273,2,3,
2024-03-10 20:11:59,2024-03-10 21:00:00,TIS,166388735,38170004,4,1,10 min / Penalty
2024-03-10 20:12:00,2024-03-10 21:00:00,TIS,166388779,38170004,4,1,10 min / Penalty
2024-03-10 20:11:59,2024-03-10 21:00:00,TIS,166391214,38170004,4,1,10 min / Penalty
2024-03-10 20:12:00,2024-03-10 21:00:00,TIS,166433890,38170004,4,1,10 min / Penalty
2024-03-10 20:05:01,2024-03-10 21:00:00,TIS,166433892,38170003,2,3,
2024-03-10 20:11:59,2024-03-10 21:00:00,TIS,166436321,38170004,4,1,10 min / Penalty
2024-03-10 20:16:27,2024-03-10 21:00:00,TIS,166438222,38170004,2,3,
2024-03-10 20:11:59,2024-03-10 21:00:00,TIS,166438224,38170004,4,1,10 min / Penalty
2024-03-10 20:04:20,2024-03-10 21:00:00,TIS,166449369,38170004,2,3,
2024-03-10 20:11:58,2024-03-10 21:00:00,TIS,166449370,38170005,4,1,10 min / Penalty
